prod_link,title,description,initialprice,offerprice,rating,reviews,image1,image1,image2,image3,image4
"https://www.flipkart.com/biotrex-nutraceuticals-folic-acid-2000mcg/p/itmeskunj73dthmb?pid=VSLESKUNYXVQHWYD&lid=LSTVSLESKUNYXVQHWYDRSCAPE&marketplace=FLIPKART&srno=s_6_226&otracker=search&fm=organic&iid=e0597806-07a5-4e61-8f1f-8e1603a282ec.VSLESKUNYXVQHWYD.SEARCH&ssid=3b7nj4qt1s0000001591353818273&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Folic Acid 2000mcg', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/w/y/d/60-btnb0007-biotrex-nutraceuticals-original-imaesgdgetgsvubx.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/x/w/c/60-folic-acid-2000mcg-60-capsules-biotrex-nutraceuticals-original-imaesgdgwnaspw2f.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/x/w/c/60-folic-acid-2000mcg-60-capsules-biotrex-nutraceuticals-original-imaesgdjfakcg3k9.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-ginkgo-biloba-60mg/p/itmeskunzwzhzhdb?pid=VSLESKUNDFRSQZYA&lid=LSTVSLESKUNDFRSQZYAVX1YIK&marketplace=FLIPKART&srno=s_2_60&otracker=search&fm=organic&iid=7fdbdbd0-3728-4e6b-a0d6-baf0e5468af1.VSLESKUNDFRSQZYA.SEARCH&ssid=f37n8t5nlc0000001591353818030&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Ginkgo biloba 60mg', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/z/y/a/60-btnb0009-biotrex-nutraceuticals-original-imaesgdk8mbtzn2v.jpeg,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/z/y/a/60-btnb0009-biotrex-nutraceuticals-original-imaesgdhzhpz6pma.jpeg,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/z/y/a/60-btnb0009-biotrex-nutraceuticals-original-imaesgdhdgp7axby.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-ginseng-500mg/p/itmeskumaggvtgeg?pid=VSLESKUCUGUUH7AV&lid=LSTVSLESKUCUGUUH7AVDADYHN&marketplace=FLIPKART&srno=s_4_134&otracker=search&fm=organic&iid=7b491d56-c5ea-427f-81dc-049cfa775401.VSLESKUCUGUUH7AV.SEARCH&ssid=hz0fiynoww0000001591353818554&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Ginseng 500mg', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/7/a/v/60-btnb0031-biotrex-nutraceuticals-original-imaesgh6w2bzhgge.jpeg,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/7/a/v/60-btnb0031-biotrex-nutraceuticals-original-imaesgh7xybzywkt.jpeg,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/7/a/v/60-btnb0031-biotrex-nutraceuticals-original-imaesgh7ggakmjcm.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-ginseng-herbal-powder/p/itmetfubytcxauyz?pid=VSLETFUBCEZRSVFP&lid=LSTVSLETFUBCEZRSVFPMTLMYO&marketplace=FLIPKART&srno=s_7_275&otracker=search&fm=organic&iid=920e3239-fb55-457c-849d-7d1b28caa870.VSLETFUBCEZRSVFP.SEARCH&ssid=2p9sp5qkq80000001591353818269&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Ginseng Herbal Powder', '\xa0\xa0(200 g)']","['Special Supplements', 'Powder Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,,,,,
"https://www.flipkart.com/biotrex-nutraceuticals-glucowell-glucosamine-msm-chondroitin-500mg/p/itmeuhaxbdmugy5t?pid=VSLEUHAXBFPC3KGA&lid=LSTVSLEUHAXBFPC3KGA7HTQPQ&marketplace=FLIPKART&srno=s_1_38&otracker=search&fm=organic&iid=2db0c5e2-24dd-4f60-890d-24ae74bd3f5c.VSLEUHAXBFPC3KGA.SEARCH&ssid=v4xzcusetc0000001591353708013&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Glucowell - Glucosamine, MSM & Chondroitin 500mg', '\xa0\xa0(60 No)']","['Special Supplements', 'Tablet Form', 'Suitable For: Vegetarian', 'Pack of 1']",,?400,3.8,641 Ratings ,background-image:url,https://rukminim1.flixcart.com/image/j3bwe4w0/vitamin-supplement/k/g/a/60-btnb0010-biotrex-nutraceuticals-original-imaesgdmwansbys5.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/k/9/k/60-glucowell-glucosamine-msm-chondroitin-500mg-60-tablets-original-imaesgdmbqbhhgyh.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/k/9/k/60-glucowell-glucosamine-msm-chondroitin-500mg-60-tablets-original-imaessfrkbyt9r4e.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-green-coffee-been-500mg/p/itmeskunvgmauxxg?pid=VSLESKUNMTTBYV8H&lid=LSTVSLESKUNMTTBYV8HYQ4WMO&marketplace=FLIPKART&srno=s_21_802&otracker=search&fm=organic&iid=207e22a0-5f1c-417d-b2e8-6a94aa997c33.VSLESKUNMTTBYV8H.SEARCH&ssid=7jtwrvfzk00000001591352459450&qH=92241909a36d3a50
","['Biotrex Nutraceuticals Green Coffee Been 500mg,', '\xa0\xa0(60 No)']","['Fat Loss Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/v/8/h/60-btnb0032-biotrex-nutraceuticals-original-imaesgh8gegmschf.jpeg,https://rukminim1.flixcart.com/image/j9st5zk0/vitamin-supplement/n/v/q/500-2btnb0032-biotrex-nutraceuticals-original-imaesgh9mrudzhky.jpeg,https://rukminim1.flixcart.com/image/jsyyufk0/vitamin-supplement/a/n/y/60-guggul-250mg-60-capsules-biotrex-nutraceuticals-original-imaesggu8hpjryhx.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-green-coffee-been-herbal-powder/p/itmetfucjr4jwkyk?pid=VSLETFUFXC4XAQFG&lid=LSTVSLETFUFXC4XAQFGTLT88E&marketplace=FLIPKART&srno=s_2_72&otracker=search&fm=organic&iid=7fdbdbd0-3728-4e6b-a0d6-baf0e5468af1.VSLETFUFXC4XAQFG.SEARCH&ssid=f37n8t5nlc0000001591353818030&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Green Coffee Been Herbal Powder', '\xa0\xa0(200 g)']","['Special Supplements', 'Powder Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,,,,,
"https://www.flipkart.com/biotrex-nutraceuticals-green-tea-500-mg/p/itmeskumarfstnnz?pid=VSLESKUMYXFRSXVY&lid=LSTVSLESKUMYXFRSXVYLX6H2S&marketplace=FLIPKART&srno=s_2_79&otracker=search&fm=organic&iid=7fdbdbd0-3728-4e6b-a0d6-baf0e5468af1.VSLESKUMYXFRSXVY.SEARCH&ssid=f37n8t5nlc0000001591353818030&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Green Tea 500 mg,', '\xa0\xa0(60 No)']","['Fat Loss Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/x/v/y/60-btnb0011-biotrex-nutraceuticals-original-imaesgfqz8ygyunm.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/u/c/x/60-green-tea-500-mg-60-capsules-biotrex-nutraceuticals-original-imaesgftsqzq8nrh.jpeg,https://rukminim1.flixcart.com/image/jsw3yq80/vitamin-supplement/u/c/x/60-green-tea-500-mg-60-capsules-biotrex-nutraceuticals-original-imaesgfuahayzbpv.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-jambubeej-250mg/p/itmeskunqbbbeazs?pid=VSLESKUNGRPUZZYH&lid=LSTVSLESKUNGRPUZZYHCFNBYC&marketplace=FLIPKART&srno=s_7_277&otracker=search&fm=organic&iid=920e3239-fb55-457c-849d-7d1b28caa870.VSLESKUNGRPUZZYH.SEARCH&ssid=2p9sp5qkq80000001591353818269&qH=d9d7867deeb4e5b1
","['Biotrex Nutraceuticals Jambubeej 250mg', '\xa0\xa0(60 No)']","['Special Supplements', 'Capsules Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,background-image:url,https://rukminim1.flixcart.com/image/j0vb3bk0/vitamin-supplement/z/y/h/60-btnb0035-biotrex-nutraceuticals-original-imaesgkckgvgnxhy.jpeg,https://rukminim1.flixcart.com/image/j9st5zk0/vitamin-supplement/c/q/b/250-2btnb0035-biotrex-nutraceuticals-original-imaesgkd6bjndjqm.jpeg,https://rukminim1.flixcart.com/image/jsyyufk0/vitamin-supplement/a/n/y/60-guggul-250mg-60-capsules-biotrex-nutraceuticals-original-imaesggu8hpjryhx.jpeg,https://rukminim1.flixcart.com/image/jx3kn0w0/soap/v/b/z/3-225-antibacterial-soap-pack-of-3-dermal-original-imaf9253tzagtg9q.jpeg
"https://www.flipkart.com/biotrex-nutraceuticals-karela-herbal-powder/p/itmetfuczsrz6mgj?pid=VSLETFUCHVV3ADFN&lid=LSTVSLETFUCHVV3ADFNZLSLVT&marketplace=FLIPKART&srno=s_19_756&otracker=search&fm=organic&iid=9bc30d97-780d-462e-8230-36962ec36324.VSLETFUCHVV3ADFN.SEARCH&ssid=a95ynca4k00000001591352459389&qH=92241909a36d3a50
","['Biotrex Nutraceuticals Karela Herbal Powder', '\xa0\xa0(200 g)']","['Special Supplements', 'Powder Form', 'Suitable For: Vegetarian', 'Pack of 1']",,,,,,,,,
